name,url,logo_url,image_url,description,tags,founded_year,category,type,country,is_active
Abel & Cole,https://www.abelandcole.co.uk/,https://img.logo.dev/abelandcole.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/abelandcole.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Organic box delivery pioneer providing weekly seasonal produce and grocery subscriptions directly from UK farms since 1988.,"D2C Subscription, Food & Drink Subscription",1988,Food & Drink Subscription,D2C Subscription,United Kingdom,1
Absolute Collagen,https://www.absolutecollagen.com/,https://img.logo.dev/absolutecollagen.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/absolutecollagen.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Marine collagen subscription in convenient daily sachets formulated for skin elasticity and hair and nail health.,"D2C Subscription, Beauty & Personal Care",2017,Beauty & Personal Care,D2C Subscription,United Kingdom,1
Aduna,https://aduna.com/,https://img.logo.dev/aduna.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/aduna.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,African superfood powders and supplements with a social enterprise mission to create demand for sustainable African ingredients.,"D2C Subscription, Health & Wellness",2012,Health & Wellness,D2C Subscription,United Kingdom,1
AllPlants,https://allplants.com/,https://img.logo.dev/allplants.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/allplants.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Plant-based frozen meal subscription delivering chef-prepared and nutritionally complete vegan dishes across the UK.,"D2C Subscription, Food & Drink Subscription",2016,Food & Drink Subscription,D2C Subscription,United Kingdom,1
Ancient & Brave,https://ancientandbrave.com/,https://img.logo.dev/ancientandbrave.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://cdn.phototourl.com/free/2026-05-29-3300a020-291d-462f-8e49-d674de5db6d0.png,Premium collagen adaptogens and nootropic supplements for performance longevity and daily wellbeing rituals.,"D2C Subscription, Health & Wellness",2018,Health & Wellness,D2C Subscription,United Kingdom,1
Bare Biology,https://www.barebiology.com/,https://img.logo.dev/barebiology.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/barebiology.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Ultra-pure high-strength omega-3 fish oil supplements sustainably sourced from wild fish with independently tested purity.,"D2C Subscription, Health & Wellness",2012,Health & Wellness,D2C Subscription,United Kingdom,1
Beauty Pie,https://www.beautypie.com/,https://img.logo.dev/beautypie.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/beautypie.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Membership beauty brand offering luxury-quality skincare and cosmetics at factory prices direct to subscribers.,"D2C Subscription, Beauty & Personal Care",2016,Beauty & Personal Care,D2C Subscription,United Kingdom,1
Beer52,https://www.beer52.com/,https://img.logo.dev/beer52.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/beer52.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Monthly craft beer subscription delivering a curated selection of global and UK independent brewery beers to your door.,"D2C Subscription, Wine & Spirits",2013,Wine & Spirits,D2C Subscription,United Kingdom,1
Bella & Duke,https://www.bellaandduke.com/,https://img.logo.dev/bellaandduke.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bellaandduke.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Raw pet food subscription delivering complete and nutritionally balanced raw meals for dogs and cats across the UK.,"D2C Subscription, Pet Food & Care",2016,Pet Food & Care,D2C Subscription,United Kingdom,1
BetterYou,https://betteryou.com/,https://img.logo.dev/betteryou.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/betteryou.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Pioneering transdermal magnesium and vitamin sprays for superior absorption backed by independent clinical research.,"D2C Subscription, Health & Wellness",2006,Health & Wellness,D2C Subscription,United Kingdom,1
