name,url,logo_url,image_url,description,tags,founded_year,category,type,country,is_active,slug,address,social_links,logo_alt_text,image_alt_text,seo_title,seo_description
Wild,https://wearewild.com/,https://img.logo.dev/wearewild.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/wearewild.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Natural and sustainable deodorant and personal care subscription offering plastic-free refillable products that genuinely work without harmful chemicals.,"D2C Subscription, Beauty & Personal Care",2019,Beauty & Personal Care,D2C Subscription,United Kingdom,1,wild,"London, United Kingdom",,Wild logo,Wild - UK subscription brand,Wild | UK Subscription | The UK Subscription Index,Natural and sustainable deodorant and personal care subscription offering plastic-free refillable products that genuinely work without harmful. Listed on The UK Subscription Index.
Years,https://www.years.com/,https://img.logo.dev/years.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/years.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Longevity-focused supplement subscription blending science-backed nutrition with lifestyle guidance to help people live healthier for longer.,"D2C Subscription, Health & Wellness",2021,Health & Wellness,D2C Subscription,United Kingdom,1,years,"London, United Kingdom",,Years logo,Years - UK subscription brand,Years | UK Subscription | The UK Subscription Index,Longevity-focused supplement subscription blending science-backed nutrition with lifestyle guidance to help people live healthier for longer. Listed on The UK Subscription Index.
Kit & Kin,https://kitandkin.com/,https://img.logo.dev/kitandkin.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/kitandkin.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Eco-friendly baby subscription delivering organic nappies wipes and skincare products that are gentle on babies and kind to the planet.,"D2C Subscription, Lifestyle & Sustainability",2017,Lifestyle & Sustainability,D2C Subscription,United Kingdom,1,kit-kin,"London, United Kingdom",,Kit & Kin logo,Kit & Kin - UK subscription brand,Kit & Kin | UK Subscription | The UK Subscription Index,Eco-friendly baby subscription delivering organic nappies wipes and skincare products that are gentle on babies and kind to the planet. Listed on The UK Subscription Index.
Willy's ACV,https://willysacv.com/,https://img.logo.dev/willysacv.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/willysacv.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Raw and unpasteurised apple cider vinegar subscription from a family farm in Herefordshire delivering gut health and immune support benefits.,"D2C Subscription, Health & Wellness",2017,Health & Wellness,D2C Subscription,United Kingdom,1,willys-acv,"Herefordshire, United Kingdom",,Willy's ACV logo,Willy's ACV - UK subscription brand,Willy's ACV | UK Subscription | The UK Subscription Index,Raw and unpasteurised apple cider vinegar subscription from a family farm in Herefordshire delivering gut health and immune support benefits. Listed on The UK Subscription Index.
Grace & Green,https://graceandgreen.co/,https://img.logo.dev/graceandgreen.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/graceandgreen.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Organic and natural period care subscription offering tampons pads and liners free from harmful chemicals for conscious and comfortable periods.,"D2C Subscription, Beauty & Personal Care",2015,Beauty & Personal Care,D2C Subscription,United Kingdom,1,grace-green,"London, United Kingdom",,Grace & Green logo,Grace & Green - UK subscription brand,Grace & Green | UK Subscription | The UK Subscription Index,Organic and natural period care subscription offering tampons pads and liners free from harmful chemicals for conscious and comfortable periods. Listed on The UK Subscription Index.
Vivo Life,https://www.vivolife.co.uk/,https://img.logo.dev/vivolife.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/vivolife.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium plant-based protein powders and supplements subscription sourced from whole food ingredients for performance health and sustainability.,"D2C Subscription, Health & Wellness",2013,Health & Wellness,D2C Subscription,United Kingdom,1,vivo-life,"Cornwall, United Kingdom",,Vivo Life logo,Vivo Life - UK subscription brand,Vivo Life | UK Subscription | The UK Subscription Index,Premium plant-based protein powders and supplements subscription sourced from whole food ingredients for performance health and sustainability. Listed on The UK Subscription Index.
Free Soul,https://freesoul.com/,https://img.logo.dev/freesoul.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/freesoul.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Women's wellness supplements and protein blends specifically formulated to support female hormones energy and overall health.,"D2C Subscription, Health & Wellness",2018,Health & Wellness,D2C Subscription,United Kingdom,1,free-soul,"London, United Kingdom",,Free Soul logo,Free Soul - UK subscription brand,Free Soul | UK Subscription | The UK Subscription Index,Women's wellness supplements and protein blends specifically formulated to support female hormones energy and overall health. Listed on The UK Subscription Index.
Moody Month,https://moodymonth.com/,https://img.logo.dev/moodymonth.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/moodymonth.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Women's hormonal health platform and supplement subscription helping track the menstrual cycle and manage PMS and hormonal wellbeing.,"D2C Subscription, Health & Wellness",2018,Health & Wellness,D2C Subscription,United Kingdom,1,moody-month,"London, United Kingdom",,Moody Month logo,Moody Month - UK subscription brand,Moody Month | UK Subscription | The UK Subscription Index,Women's hormonal health platform and supplement subscription helping track the menstrual cycle and manage PMS and hormonal wellbeing. Listed on The UK Subscription Index.
The Cheeky Panda,https://uk.cheekypanda.com/,https://img.logo.dev/cheekypanda.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/cheekypanda.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Sustainable bamboo household and personal care subscription offering plastic-free tissues wipes and toilet rolls softer than traditional paper products.,"D2C Subscription, Lifestyle & Sustainability",2016,Lifestyle & Sustainability,D2C Subscription,United Kingdom,1,the-cheeky-panda,"London, United Kingdom",,The Cheeky Panda logo,The Cheeky Panda - UK subscription brand,The Cheeky Panda | UK Subscription | The UK Subscription Index,Sustainable bamboo household and personal care subscription offering plastic-free tissues wipes and toilet rolls softer than traditional paper. Listed on The UK Subscription Index.
Spoon Cereals,https://www.spooncereals.co.uk/,https://img.logo.dev/spooncereals.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/spooncereals.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Independent granola and cereal subscription crafting small-batch recipes with whole natural ingredients for a delicious and nutritious breakfast.,"D2C Subscription, Food & Drink",2013,Food & Drink,D2C Subscription,United Kingdom,1,spoon-cereals,"Brighton, United Kingdom",,Spoon Cereals logo,Spoon Cereals - UK subscription brand,Spoon Cereals | UK Subscription | The UK Subscription Index,Independent granola and cereal subscription crafting small-batch recipes with whole natural ingredients for a delicious and nutritious breakfast. Listed on The UK Subscription Index.
