name,url,logo_url,image_url,description,tags,founded_year,category,type,country,is_active,slug,address,social_links,logo_alt_text,image_alt_text,seo_title,seo_description
Abel & Cole,https://www.abelandcole.co.uk/,https://img.logo.dev/abelandcole.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/abelandcole.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Organic box delivery pioneer providing weekly seasonal produce and grocery subscriptions directly from UK farms since 1988.,"D2C Subscription, Food & Drink Subscription",1988,Food & Drink Subscription,D2C Subscription,United Kingdom,1,abel-and-cole,"London, United Kingdom",,Abel & Cole logo,Abel & Cole - UK subscription brand,Abel & Cole | UK Subscription | The UK Subscription Index,Organic box delivery pioneer providing weekly seasonal produce and grocery subscriptions directly from UK farms since. Listed on The UK Subscription Index.
Absolute Collagen,https://www.absolutecollagen.com/,https://img.logo.dev/absolutecollagen.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/absolutecollagen.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Marine collagen subscription in convenient daily sachets formulated for skin elasticity and hair and nail health.,"D2C Subscription, Beauty & Personal Care",2017,Beauty & Personal Care,D2C Subscription,United Kingdom,1,absolute-collagen,"Cheshire, United Kingdom",,Absolute Collagen logo,Absolute Collagen - UK subscription brand,Absolute Collagen | UK Subscription | The UK Subscription Index,Marine collagen subscription in convenient daily sachets formulated for skin elasticity and hair and nail. Listed on The UK Subscription Index.
Aduna,https://aduna.com/,https://img.logo.dev/aduna.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/aduna.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,African superfood powders and supplements with a social enterprise mission to create demand for sustainable African ingredients.,"D2C Subscription, Health & Wellness",2012,Health & Wellness,D2C Subscription,United Kingdom,1,aduna,"London, United Kingdom",,Aduna logo,Aduna - UK subscription brand,Aduna | UK Subscription | The UK Subscription Index,African superfood powders and supplements with a social enterprise mission to create demand for sustainable African. Listed on The UK Subscription Index.
AllPlants,https://allplants.com/,https://img.logo.dev/allplants.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/allplants.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Plant-based frozen meal subscription delivering chef-prepared and nutritionally complete vegan dishes across the UK.,"D2C Subscription, Food & Drink Subscription",2016,Food & Drink Subscription,D2C Subscription,United Kingdom,1,allplants,"London, United Kingdom",,AllPlants logo,AllPlants - UK subscription brand,AllPlants | UK Subscription | The UK Subscription Index,Plant-based frozen meal subscription delivering chef-prepared and nutritionally complete vegan dishes across the. Listed on The UK Subscription Index.
Ancient & Brave,https://ancientandbrave.com/,https://img.logo.dev/ancientandbrave.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://cdn.phototourl.com/free/2026-05-29-3300a020-291d-462f-8e49-d674de5db6d0.png,Premium collagen adaptogens and nootropic supplements for performance longevity and daily wellbeing rituals.,"D2C Subscription, Health & Wellness",2018,Health & Wellness,D2C Subscription,United Kingdom,1,ancient-and-brave,"Wiltshire, United Kingdom",,Ancient & Brave logo,Ancient & Brave - UK subscription brand,Ancient & Brave | UK Subscription | The UK Subscription Index,Premium collagen adaptogens and nootropic supplements for performance longevity and daily wellbeing. Listed on The UK Subscription Index.
Bare Biology,https://www.barebiology.com/,https://img.logo.dev/barebiology.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/barebiology.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Ultra-pure high-strength omega-3 fish oil supplements sustainably sourced from wild fish with independently tested purity.,"D2C Subscription, Health & Wellness",2012,Health & Wellness,D2C Subscription,United Kingdom,1,bare-biology,"Hove, United Kingdom",,Bare Biology logo,Bare Biology - UK subscription brand,Bare Biology | UK Subscription | The UK Subscription Index,Ultra-pure high-strength omega-3 fish oil supplements sustainably sourced from wild fish with independently tested. Listed on The UK Subscription Index.
Beauty Pie,https://www.beautypie.com/,https://img.logo.dev/beautypie.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/beautypie.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Membership beauty brand offering luxury-quality skincare and cosmetics at factory prices direct to subscribers.,"D2C Subscription, Beauty & Personal Care",2016,Beauty & Personal Care,D2C Subscription,United Kingdom,1,beauty-pie,"London, United Kingdom",,Beauty Pie logo,Beauty Pie - UK subscription brand,Beauty Pie | UK Subscription | The UK Subscription Index,Membership beauty brand offering luxury-quality skincare and cosmetics at factory prices direct to. Listed on The UK Subscription Index.
Beer52,https://www.beer52.com/,https://img.logo.dev/beer52.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/beer52.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Monthly craft beer subscription delivering a curated selection of global and UK independent brewery beers to your door.,"D2C Subscription, Wine & Spirits",2013,Wine & Spirits,D2C Subscription,United Kingdom,1,beer52,"Edinburgh, United Kingdom",,Beer52 logo,Beer52 - UK subscription brand,Beer52 | UK Subscription | The UK Subscription Index,Monthly craft beer subscription delivering a curated selection of global and UK independent brewery beers to your. Listed on The UK Subscription Index.
Bella & Duke,https://www.bellaandduke.com/,https://img.logo.dev/bellaandduke.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bellaandduke.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Raw pet food subscription delivering complete and nutritionally balanced raw meals for dogs and cats across the UK.,"D2C Subscription, Pet Food & Care",2016,Pet Food & Care,D2C Subscription,United Kingdom,1,bella-and-duke,"Perth, United Kingdom",,Bella & Duke logo,Bella & Duke - UK subscription brand,Bella & Duke | UK Subscription | The UK Subscription Index,Raw pet food subscription delivering complete and nutritionally balanced raw meals for dogs and cats across the. Listed on The UK Subscription Index.
BetterYou,https://betteryou.com/,https://img.logo.dev/betteryou.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/betteryou.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Pioneering transdermal magnesium and vitamin sprays for superior absorption backed by independent clinical research.,"D2C Subscription, Health & Wellness",2006,Health & Wellness,D2C Subscription,United Kingdom,1,betteryou,"Sheffield, United Kingdom",,BetterYou logo,BetterYou - UK subscription brand,BetterYou | UK Subscription | The UK Subscription Index,Pioneering transdermal magnesium and vitamin sprays for superior absorption backed by independent clinical. Listed on The UK Subscription Index.
Bike Club,https://bikeclub.com/,https://img.logo.dev/bikeclub.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bikeclub.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Children's bicycle subscription allowing kids to upgrade to a larger bike as they grow while avoiding single-purchase waste.,"D2C Subscription, Baby & Kids",2018,Baby & Kids,D2C Subscription,United Kingdom,1,bike-club,"London, United Kingdom",,Bike Club logo,Bike Club - UK subscription brand,Bike Club | UK Subscription | The UK Subscription Index,Children's bicycle subscription allowing kids to upgrade to a larger bike as they grow while avoiding single-purchase. Listed on The UK Subscription Index.
Bird & Blend Tea Co.,https://www.birdandblendtea.com/,https://img.logo.dev/birdandblendtea.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/birdandblendtea.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Independent tea brand blending innovative loose leaf teas and herbals available in-store online and on subscription.,"D2C Subscription, Coffee & Tea",2013,Coffee & Tea,D2C Subscription,United Kingdom,1,bird-and-blend-tea-co,"Brighton, United Kingdom",,Bird & Blend Tea Co. logo,Bird & Blend Tea Co. - UK subscription brand,Bird & Blend Tea Co. | UK Subscription | The UK Subscription Index,Independent tea brand blending innovative loose leaf teas and herbals available in-store online and on. Listed on The UK Subscription Index.
Biscuiteers,https://www.biscuiteers.com/,https://img.logo.dev/biscuiteers.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/biscuiteers.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Hand-iced luxury biscuit subscription and gifting brand known for beautiful and intricate designs for every occasion.,"D2C Subscription, Food & Snacks",2007,Food & Snacks,D2C Subscription,United Kingdom,1,biscuiteers,"London, United Kingdom",,Biscuiteers logo,Biscuiteers - UK subscription brand,Biscuiteers | UK Subscription | The UK Subscription Index,Hand-iced luxury biscuit subscription and gifting brand known for beautiful and intricate designs for every. Listed on The UK Subscription Index.
Bloom & Wild,https://www.bloomandwild.com/,https://img.logo.dev/bloomandwild.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bloomandwild.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,The UK's most-loved letterbox flower subscription delivering fresh seasonal bouquets and gifts curated by hand.,"D2C Subscription, Flower & Gift Delivery",2013,Flower & Gift Delivery,D2C Subscription,United Kingdom,1,bloom-and-wild,"London, United Kingdom",,Bloom & Wild logo,Bloom & Wild - UK subscription brand,Bloom & Wild | UK Subscription | The UK Subscription Index,The UK's most-loved letterbox flower subscription delivering fresh seasonal bouquets and gifts curated by. Listed on The UK Subscription Index.
BOL Foods,https://bolfoods.com/,https://img.logo.dev/bolfoods.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bolfoods.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Plant-based ready meals and salads on subscription designed to make healthy and protein-rich eating simple and delicious.,"D2C Subscription, Food & Drink Subscription",2015,Food & Drink Subscription,D2C Subscription,United Kingdom,1,bol-foods,"London, United Kingdom",,BOL Foods logo,BOL Foods - UK subscription brand,BOL Foods | UK Subscription | The UK Subscription Index,Plant-based ready meals and salads on subscription designed to make healthy and protein-rich eating simple and. Listed on The UK Subscription Index.
Bold Bean Co,https://boldbeanco.com/,https://img.logo.dev/boldbeanco.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/boldbeanco.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium jarred beans subscription revolutionising how people cook and eat with sustainably sourced legumes.,"D2C Subscription, Food & Snacks",2020,Food & Snacks,D2C Subscription,United Kingdom,1,bold-bean-co,"London, United Kingdom",,Bold Bean Co logo,Bold Bean Co - UK subscription brand,Bold Bean Co | UK Subscription | The UK Subscription Index,Premium jarred beans subscription revolutionising how people cook and eat with sustainably sourced. Listed on The UK Subscription Index.
Bookishly,https://www.bookishly.co.uk/,https://img.logo.dev/bookishly.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bookishly.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Literary-inspired subscription delivering beautifully designed book accessories prints and bookish lifestyle products monthly.,"D2C Subscription, Books & Entertainment",2016,Books & Entertainment,D2C Subscription,United Kingdom,1,bookishly,"London, United Kingdom",,Bookishly logo,Bookishly - UK subscription brand,Bookishly | UK Subscription | The UK Subscription Index,Literary-inspired subscription delivering beautifully designed book accessories prints and bookish lifestyle products. Listed on The UK Subscription Index.
Bower Collective,https://bowercollective.com/,https://img.logo.dev/bowercollective.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bowercollective.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Plastic-free home and personal care product subscription offering sustainably packaged alternatives to mainstream brands.,"D2C Subscription, Eco & Sustainable Products",2019,Eco & Sustainable Products,D2C Subscription,United Kingdom,1,bower-collective,"London, United Kingdom",,Bower Collective logo,Bower Collective - UK subscription brand,Bower Collective | UK Subscription | The UK Subscription Index,Plastic-free home and personal care product subscription offering sustainably packaged alternatives to mainstream. Listed on The UK Subscription Index.
Bulk,https://www.bulk.com/uk,https://img.logo.dev/bulk.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bulk.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Sports nutrition and supplement brand offering transparent and affordable quality products for fitness-focused individuals.,"D2C Subscription, Health & Wellness",2006,Health & Wellness,D2C Subscription,United Kingdom,1,bulk,"London, United Kingdom",,Bulk logo,Bulk - UK subscription brand,Bulk | UK Subscription | The UK Subscription Index,Sports nutrition and supplement brand offering transparent and affordable quality products for fitness-focused. Listed on The UK Subscription Index.
Butternut Box,https://butternutbox.com/,https://img.logo.dev/butternutbox.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/butternutbox.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Freshly prepared human-grade dog food subscription delivered in personalised portions tailored to each dog's health needs.,"D2C Subscription, Pet Food & Care",2016,Pet Food & Care,D2C Subscription,United Kingdom,1,butternut-box,"London, United Kingdom",,Butternut Box logo,Butternut Box - UK subscription brand,Butternut Box | UK Subscription | The UK Subscription Index,Freshly prepared human-grade dog food subscription delivered in personalised portions tailored to each dog's health. Listed on The UK Subscription Index.
ByRuby,https://byruby.co.uk/,https://img.logo.dev/byruby.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/byruby.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Artisan frozen meal subscription delivering hand-crafted restaurant-quality dishes in compostable packaging to your door.,"D2C Subscription, Food & Drink Subscription",2019,Food & Drink Subscription,D2C Subscription,United Kingdom,1,byruby,"London, United Kingdom",,ByRuby logo,ByRuby - UK subscription brand,ByRuby | UK Subscription | The UK Subscription Index,Artisan frozen meal subscription delivering hand-crafted restaurant-quality dishes in compostable packaging to your. Listed on The UK Subscription Index.
Candy Kittens,https://candykittens.co.uk/,https://img.logo.dev/candykittens.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/candykittens.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium vegan gourmet sweets on subscription made with real fruit flavours and no artificial colours or flavours.,"D2C Subscription, Food & Snacks",2012,Food & Snacks,D2C Subscription,United Kingdom,1,candy-kittens,"London, United Kingdom",,Candy Kittens logo,Candy Kittens - UK subscription brand,Candy Kittens | UK Subscription | The UK Subscription Index,Premium vegan gourmet sweets on subscription made with real fruit flavours and no artificial colours or. Listed on The UK Subscription Index.
Cheesegeek,https://www.thecheesegeek.com/,https://img.logo.dev/thecheesegeek.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/thecheesegeek.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Artisan cheese subscription delivering expertly curated seasonal cheeses with detailed tasting notes delivered monthly.,"D2C Subscription, Food & Snacks",2016,Food & Snacks,D2C Subscription,United Kingdom,1,cheesegeek,"London, United Kingdom",,Cheesegeek logo,Cheesegeek - UK subscription brand,Cheesegeek | UK Subscription | The UK Subscription Index,Artisan cheese subscription delivering expertly curated seasonal cheeses with detailed tasting notes delivered. Listed on The UK Subscription Index.
Chip,https://www.getchip.uk/,https://img.logo.dev/getchip.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/getchip.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,AI-powered savings and investment app that automatically saves money based on spending patterns with premium subscription tiers.,"D2C Subscription, Finance & Fintech",2017,Finance & Fintech,D2C Subscription,United Kingdom,1,chip,"London, United Kingdom",,Chip logo,Chip - UK subscription brand,Chip | UK Subscription | The UK Subscription Index,AI-powered savings and investment app that automatically saves money based on spending patterns with premium subscription. Listed on The UK Subscription Index.
Cleo AI,https://web.meetcleo.com/,https://img.logo.dev/meetcleo.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/meetcleo.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,AI financial assistant app with premium subscription offering budgeting tools cash advances and personalised financial coaching.,"D2C Subscription, Finance & Fintech",2016,Finance & Fintech,D2C Subscription,United Kingdom,1,cleo-ai,"London, United Kingdom",,Cleo AI logo,Cleo AI - UK subscription brand,Cleo AI | UK Subscription | The UK Subscription Index,AI financial assistant app with premium subscription offering budgeting tools cash advances and personalised financial. Listed on The UK Subscription Index.
